skew_thr,streak_sec,cheap_thr,all_slices_positive,min_slice_pnl_usd,pnl_sum_usd_full,ev_per_window_usd_full,hits_full,slice_0_pnl_usd,slice_1_pnl_usd,slice_2_pnl_usd,slice_3_pnl_usd,slice_4_pnl_usd,slice_5_pnl_usd,slice_6_pnl_usd,slice_7_pnl_usd,slice_8_pnl_usd,slice_9_pnl_usd
0.7,6,0.15,0,-7.0,596.722611,0.597918,84,497.181818,120.540793,-3.0,-7.0,-4.0,-2.0,-2.0,-1.0,-4.0,2.0
0.7,6,0.16,0,-9.0,591.722611,0.592908,89,497.181818,120.540793,-3.0,-9.0,-4.0,-2.0,-4.0,-2.0,-4.0,2.0
0.7,6,0.17,0,-9.0,590.396408,0.59158,93,497.181818,117.332236,-3.0,-9.0,0.882353,-2.0,-4.0,-5.0,-4.0,2.0
0.7,6,0.18,0,-9.0,594.951963,0.596144,94,497.181818,117.332236,-3.0,-9.0,0.882353,2.555556,-4.0,-5.0,-4.0,2.0
0.7,6,0.19,0,-9.0,594.332768,0.595524,94,497.181818,116.713041,-3.0,-9.0,0.882353,2.555556,-4.0,-5.0,-4.0,2.0
0.7,6,0.2,0,-9.0,595.64046,0.596834,95,497.181818,114.020734,-3.0,-9.0,0.882353,2.555556,-4.0,-5.0,0.0,2.0
0.7,6,0.21,0,-9.0,595.139207,0.596332,95,497.181818,113.519481,-3.0,-9.0,0.882353,2.555556,-4.0,-5.0,0.0,2.0
0.7,6,0.22,0,-9.0,595.139207,0.596332,95,497.181818,113.519481,-3.0,-9.0,0.882353,2.555556,-4.0,-5.0,0.0,2.0
0.7,8,0.15,0,-8.0,661.333722,0.662659,93,542.015152,118.540793,12.666667,-8.0,-5.0,-2.0,-2.0,-1.0,-5.0,11.111111
0.7,8,0.16,0,-10.0,656.333722,0.657649,98,542.015152,118.540793,12.666667,-10.0,-5.0,-2.0,-4.0,-2.0,-5.0,11.111111
0.7,8,0.17,0,-10.0,654.007519,0.655318,103,542.015152,115.332236,12.666667,-10.0,-1.117647,-2.0,-4.0,-5.0,-5.0,11.111111
0.7,8,0.18,0,-10.0,664.11863,0.66545,104,542.015152,115.332236,12.666667,-10.0,-1.117647,2.555556,1.555556,-5.0,-5.0,11.111111
0.7,8,0.19,0,-10.0,650.122242,0.651425,104,534.778309,114.713041,12.666667,-10.0,-1.117647,2.555556,1.263158,-5.0,-5.0,5.263158
0.7,8,0.2,0,-10.0,651.166776,0.652472,105,534.778309,112.020734,12.666667,-10.0,-1.117647,2.555556,1.0,-5.0,-1.0,5.263158
0.7,8,0.21,0,-10.0,649.663017,0.650965,105,534.277056,111.519481,12.666667,-10.0,-1.117647,2.555556,1.0,-5.0,-1.0,4.761905
0.7,8,0.22,0,-6.454545,653.208471,0.654518,106,534.277056,111.519481,12.666667,-6.454545,-1.117647,2.555556,1.0,-5.0,-1.0,4.761905
0.7,10,0.15,0,-7.0,761.02603,0.762551,101,640.015152,118.540793,10.666667,-0.307692,-7.0,-3.0,-2.0,-2.0,-6.0,12.111111
0.7,10,0.16,0,-7.0,750.742813,0.752247,107,637.174242,118.540793,10.666667,-3.75,-7.0,-3.0,-5.0,-3.0,-6.0,12.111111
0.7,10,0.17,0,-6.0,748.048962,0.749548,112,637.174242,115.332236,10.666667,-4.117647,-3.117647,-3.0,-5.0,-6.0,-6.0,12.111111
0.7,10,0.18,0,-6.0,758.160074,0.759679,113,637.174242,115.332236,10.666667,-4.117647,-3.117647,1.555556,0.555556,-6.0,-6.0,12.111111
0.7,10,0.19,0,-6.0,743.544491,0.745035,113,629.9374,114.713041,10.666667,-4.736842,-3.117647,1.555556,0.263158,-6.0,-6.0,6.263158
0.7,10,0.2,0,-6.0,649.589025,0.650891,114,534.9374,112.020734,10.666667,-4.736842,-3.117647,1.555556,0.0,-6.0,-2.0,6.263158
0.7,10,0.21,0,-6.0,552.84717,0.553955,114,534.436147,16.281385,10.666667,-4.736842,-3.117647,1.555556,0.0,-6.0,-2.0,5.761905
0.7,10,0.22,0,-6.0,556.176175,0.557291,115,534.436147,16.064935,10.666667,-1.191388,-3.117647,1.555556,0.0,-6.0,-2.0,5.761905
