slice_label,slice_days,timeframe,trades,wins,losses,win_rate,total_staked_usdc,total_pnl_usdc,roi_on_staked_pct,avg_stake_usdc
last_1_day,1,5m,85,66,19,0.776471,173.0000,121.0000,69.9422,2.035294
last_1_day,1,15m,41,34,7,0.829268,107.0000,75.0000,70.0935,2.609756
last_1_day,1,COMBINED,126,100,26,0.793651,280.0000,196.0000,70.0000,2.222222
last_3_days,3,5m,229,163,66,0.711790,418.0000,224.0000,53.5885,1.825328
last_3_days,3,15m,126,93,33,0.738095,246.0000,132.0000,53.6585,1.952381
last_3_days,3,COMBINED,355,256,99,0.721127,664.0000,356.0000,53.6145,1.870423
last_7_days_last_week,7,5m,617,436,181,0.706645,1140.0000,548.0000,48.0702,1.847650
last_7_days_last_week,7,15m,291,203,88,0.697595,572.0000,246.0000,43.0070,1.965636
last_7_days_last_week,7,COMBINED,908,639,269,0.703744,1712.0000,794.0000,46.3785,1.885463
last_14_days,14,5m,1235,836,399,0.676923,2265.0000,947.0000,41.8102,1.834008
last_14_days,14,15m,590,397,193,0.672881,1139.0000,441.0000,38.7182,1.930508
last_14_days,14,COMBINED,1825,1233,592,0.675616,3404.0000,1388.0000,40.7756,1.865205
last_28_days_last_month,28,5m,2417,1566,851,0.647911,4378.0000,1562.0000,35.6784,1.811336
last_28_days_last_month,28,15m,1184,747,437,0.630912,2330.0000,714.0000,30.6438,1.967905
last_28_days_last_month,28,COMBINED,3601,2313,1288,0.642322,6708.0000,2276.0000,33.9296,1.862816
